backend,case,or_time_ms,min_ms,max_ms,replicates,source_operation,source_files
DDC,A6554_B6554,1.50473,1.4695,1.51942,3,OR_op,raw/density_r1_A6554_B6554_ddc.csv;raw/density_r2_A6554_B6554_ddc.csv;raw/density_r3_A6554_B6554_ddc.csv
CRoaring,A6554_B6554,2.92459,2.84688,2.92727,3,OR_op_conv,raw/density_r1_A6554_B6554_croaring.csv;raw/density_r2_A6554_B6554_croaring.csv;raw/density_r3_A6554_B6554_croaring.csv
WAH,A6554_B6554,15.9861,15.9109,16.1431,3,OR_op,raw/density_r1_A6554_B6554_wah.csv;raw/density_r2_A6554_B6554_wah.csv;raw/density_r3_A6554_B6554_wah.csv
EWAH,A6554_B6554,5.82473,5.76301,5.83672,3,OR_op,raw/density_r1_A6554_B6554_ewah.csv;raw/density_r2_A6554_B6554_ewah.csv;raw/density_r3_A6554_B6554_ewah.csv
Bitset-AVX512,A6554_B6554,1.77021,1.73681,1.77728,3,OR_op,raw/density_r1_A6554_B6554_bitset_avx512.csv;raw/density_r2_A6554_B6554_bitset_avx512.csv;raw/density_r3_A6554_B6554_bitset_avx512.csv
Concise,A6554_B6554,28.0975,28.0143,28.1661,3,OR_op,raw/density_r1_A6554_B6554_concise.csv;raw/density_r2_A6554_B6554_concise.csv;raw/density_r3_A6554_B6554_concise.csv
DDC,A6554_B13107,1.51307,1.48878,1.54489,3,OR_op,raw/density_r1_A6554_B13107_ddc.csv;raw/density_r2_A6554_B13107_ddc.csv;raw/density_r3_A6554_B13107_ddc.csv
CRoaring,A6554_B13107,2.93019,2.83263,2.95081,3,OR_op_conv,raw/density_r1_A6554_B13107_croaring.csv;raw/density_r2_A6554_B13107_croaring.csv;raw/density_r3_A6554_B13107_croaring.csv
WAH,A6554_B13107,16.0139,14.9956,16.045,3,OR_op,raw/density_r1_A6554_B13107_wah.csv;raw/density_r2_A6554_B13107_wah.csv;raw/density_r3_A6554_B13107_wah.csv
EWAH,A6554_B13107,5.70813,5.62794,5.71947,3,OR_op,raw/density_r1_A6554_B13107_ewah.csv;raw/density_r2_A6554_B13107_ewah.csv;raw/density_r3_A6554_B13107_ewah.csv
Bitset-AVX512,A6554_B13107,1.74913,1.72211,1.82221,3,OR_op,raw/density_r1_A6554_B13107_bitset_avx512.csv;raw/density_r2_A6554_B13107_bitset_avx512.csv;raw/density_r3_A6554_B13107_bitset_avx512.csv
Concise,A6554_B13107,26.479,26.2939,26.5901,3,OR_op,raw/density_r1_A6554_B13107_concise.csv;raw/density_r2_A6554_B13107_concise.csv;raw/density_r3_A6554_B13107_concise.csv
DDC,A6554_B19661,1.51222,1.49684,1.53258,3,OR_op,raw/density_r1_A6554_B19661_ddc.csv;raw/density_r2_A6554_B19661_ddc.csv;raw/density_r3_A6554_B19661_ddc.csv
CRoaring,A6554_B19661,2.85039,2.83428,2.95078,3,OR_op_conv,raw/density_r1_A6554_B19661_croaring.csv;raw/density_r2_A6554_B19661_croaring.csv;raw/density_r3_A6554_B19661_croaring.csv
WAH,A6554_B19661,3.2371,3.23493,3.31867,3,OR_op,raw/density_r1_A6554_B19661_wah.csv;raw/density_r2_A6554_B19661_wah.csv;raw/density_r3_A6554_B19661_wah.csv
EWAH,A6554_B19661,5.66039,5.63051,5.70277,3,OR_op,raw/density_r1_A6554_B19661_ewah.csv;raw/density_r2_A6554_B19661_ewah.csv;raw/density_r3_A6554_B19661_ewah.csv
Bitset-AVX512,A6554_B19661,1.72526,1.7159,1.77226,3,OR_op,raw/density_r1_A6554_B19661_bitset_avx512.csv;raw/density_r2_A6554_B19661_bitset_avx512.csv;raw/density_r3_A6554_B19661_bitset_avx512.csv
Concise,A6554_B19661,26.5976,26.4272,26.6793,3,OR_op,raw/density_r1_A6554_B19661_concise.csv;raw/density_r2_A6554_B19661_concise.csv;raw/density_r3_A6554_B19661_concise.csv
DDC,A6554_B26214,1.51305,1.4975,1.58027,3,OR_op,raw/density_r1_A6554_B26214_ddc.csv;raw/density_r2_A6554_B26214_ddc.csv;raw/density_r3_A6554_B26214_ddc.csv
CRoaring,A6554_B26214,2.84957,2.82571,2.94688,3,OR_op_conv,raw/density_r1_A6554_B26214_croaring.csv;raw/density_r2_A6554_B26214_croaring.csv;raw/density_r3_A6554_B26214_croaring.csv
WAH,A6554_B26214,3.2687,3.26264,3.33751,3,OR_op,raw/density_r1_A6554_B26214_wah.csv;raw/density_r2_A6554_B26214_wah.csv;raw/density_r3_A6554_B26214_wah.csv
EWAH,A6554_B26214,5.681,5.66115,5.73027,3,OR_op,raw/density_r1_A6554_B26214_ewah.csv;raw/density_r2_A6554_B26214_ewah.csv;raw/density_r3_A6554_B26214_ewah.csv
Bitset-AVX512,A6554_B26214,1.77224,1.50548,1.81184,3,OR_op,raw/density_r1_A6554_B26214_bitset_avx512.csv;raw/density_r2_A6554_B26214_bitset_avx512.csv;raw/density_r3_A6554_B26214_bitset_avx512.csv
Concise,A6554_B26214,26.4406,26.4027,26.5171,3,OR_op,raw/density_r1_A6554_B26214_concise.csv;raw/density_r2_A6554_B26214_concise.csv;raw/density_r3_A6554_B26214_concise.csv
DDC,A6554_B32768,1.50555,1.492,1.54217,3,OR_op,raw/density_r1_A6554_B32768_ddc.csv;raw/density_r2_A6554_B32768_ddc.csv;raw/density_r3_A6554_B32768_ddc.csv
CRoaring,A6554_B32768,2.85239,2.83135,2.93701,3,OR_op_conv,raw/density_r1_A6554_B32768_croaring.csv;raw/density_r2_A6554_B32768_croaring.csv;raw/density_r3_A6554_B32768_croaring.csv
WAH,A6554_B32768,3.24868,3.23258,3.3598,3,OR_op,raw/density_r1_A6554_B32768_wah.csv;raw/density_r2_A6554_B32768_wah.csv;raw/density_r3_A6554_B32768_wah.csv
EWAH,A6554_B32768,5.6501,5.63126,5.72741,3,OR_op,raw/density_r1_A6554_B32768_ewah.csv;raw/density_r2_A6554_B32768_ewah.csv;raw/density_r3_A6554_B32768_ewah.csv
Bitset-AVX512,A6554_B32768,1.75598,1.7293,1.77197,3,OR_op,raw/density_r1_A6554_B32768_bitset_avx512.csv;raw/density_r2_A6554_B32768_bitset_avx512.csv;raw/density_r3_A6554_B32768_bitset_avx512.csv
Concise,A6554_B32768,26.434,26.4228,26.6937,3,OR_op,raw/density_r1_A6554_B32768_concise.csv;raw/density_r2_A6554_B32768_concise.csv;raw/density_r3_A6554_B32768_concise.csv
DDC,A13107_B13107,1.55203,1.53698,1.5892,3,OR_op,raw/density_r1_A13107_B13107_ddc.csv;raw/density_r2_A13107_B13107_ddc.csv;raw/density_r3_A13107_B13107_ddc.csv
CRoaring,A13107_B13107,2.83535,2.82475,2.95668,3,OR_op_conv,raw/density_r1_A13107_B13107_croaring.csv;raw/density_r2_A13107_B13107_croaring.csv;raw/density_r3_A13107_B13107_croaring.csv
WAH,A13107_B13107,16.1282,16.0054,16.2894,3,OR_op,raw/density_r1_A13107_B13107_wah.csv;raw/density_r2_A13107_B13107_wah.csv;raw/density_r3_A13107_B13107_wah.csv
EWAH,A13107_B13107,5.63603,5.61635,5.65883,3,OR_op,raw/density_r1_A13107_B13107_ewah.csv;raw/density_r2_A13107_B13107_ewah.csv;raw/density_r3_A13107_B13107_ewah.csv
Bitset-AVX512,A13107_B13107,1.75523,1.74085,1.76741,3,OR_op,raw/density_r1_A13107_B13107_bitset_avx512.csv;raw/density_r2_A13107_B13107_bitset_avx512.csv;raw/density_r3_A13107_B13107_bitset_avx512.csv
Concise,A13107_B13107,25.4406,25.3239,25.5917,3,OR_op,raw/density_r1_A13107_B13107_concise.csv;raw/density_r2_A13107_B13107_concise.csv;raw/density_r3_A13107_B13107_concise.csv
DDC,A13107_B19661,1.5495,1.53808,1.63342,3,OR_op,raw/density_r1_A13107_B19661_ddc.csv;raw/density_r2_A13107_B19661_ddc.csv;raw/density_r3_A13107_B19661_ddc.csv
CRoaring,A13107_B19661,2.86049,2.82967,2.94877,3,OR_op_conv,raw/density_r1_A13107_B19661_croaring.csv;raw/density_r2_A13107_B19661_croaring.csv;raw/density_r3_A13107_B19661_croaring.csv
WAH,A13107_B19661,3.22973,3.20564,3.30582,3,OR_op,raw/density_r1_A13107_B19661_wah.csv;raw/density_r2_A13107_B19661_wah.csv;raw/density_r3_A13107_B19661_wah.csv
EWAH,A13107_B19661,5.66413,5.63721,5.69834,3,OR_op,raw/density_r1_A13107_B19661_ewah.csv;raw/density_r2_A13107_B19661_ewah.csv;raw/density_r3_A13107_B19661_ewah.csv
Bitset-AVX512,A13107_B19661,1.75268,1.73173,1.78551,3,OR_op,raw/density_r1_A13107_B19661_bitset_avx512.csv;raw/density_r2_A13107_B19661_bitset_avx512.csv;raw/density_r3_A13107_B19661_bitset_avx512.csv
Concise,A13107_B19661,25.4472,25.2312,25.5478,3,OR_op,raw/density_r1_A13107_B19661_concise.csv;raw/density_r2_A13107_B19661_concise.csv;raw/density_r3_A13107_B19661_concise.csv
DDC,A13107_B26214,1.55252,1.51878,1.6811,3,OR_op,raw/density_r1_A13107_B26214_ddc.csv;raw/density_r2_A13107_B26214_ddc.csv;raw/density_r3_A13107_B26214_ddc.csv
CRoaring,A13107_B26214,2.84147,2.8286,2.96043,3,OR_op_conv,raw/density_r1_A13107_B26214_croaring.csv;raw/density_r2_A13107_B26214_croaring.csv;raw/density_r3_A13107_B26214_croaring.csv
WAH,A13107_B26214,3.22691,3.21213,3.30138,3,OR_op,raw/density_r1_A13107_B26214_wah.csv;raw/density_r2_A13107_B26214_wah.csv;raw/density_r3_A13107_B26214_wah.csv
EWAH,A13107_B26214,5.6508,5.6151,5.70399,3,OR_op,raw/density_r1_A13107_B26214_ewah.csv;raw/density_r2_A13107_B26214_ewah.csv;raw/density_r3_A13107_B26214_ewah.csv
Bitset-AVX512,A13107_B26214,1.7331,1.70391,1.78444,3,OR_op,raw/density_r1_A13107_B26214_bitset_avx512.csv;raw/density_r2_A13107_B26214_bitset_avx512.csv;raw/density_r3_A13107_B26214_bitset_avx512.csv
Concise,A13107_B26214,25.4961,25.4384,25.6708,3,OR_op,raw/density_r1_A13107_B26214_concise.csv;raw/density_r2_A13107_B26214_concise.csv;raw/density_r3_A13107_B26214_concise.csv
DDC,A13107_B32768,1.56008,1.54289,1.61419,3,OR_op,raw/density_r1_A13107_B32768_ddc.csv;raw/density_r2_A13107_B32768_ddc.csv;raw/density_r3_A13107_B32768_ddc.csv
CRoaring,A13107_B32768,2.85583,2.84339,2.95533,3,OR_op_conv,raw/density_r1_A13107_B32768_croaring.csv;raw/density_r2_A13107_B32768_croaring.csv;raw/density_r3_A13107_B32768_croaring.csv
WAH,A13107_B32768,3.22886,3.19213,3.30395,3,OR_op,raw/density_r1_A13107_B32768_wah.csv;raw/density_r2_A13107_B32768_wah.csv;raw/density_r3_A13107_B32768_wah.csv
EWAH,A13107_B32768,5.6332,5.61324,5.63669,3,OR_op,raw/density_r1_A13107_B32768_ewah.csv;raw/density_r2_A13107_B32768_ewah.csv;raw/density_r3_A13107_B32768_ewah.csv
Bitset-AVX512,A13107_B32768,1.7723,1.70978,1.77676,3,OR_op,raw/density_r1_A13107_B32768_bitset_avx512.csv;raw/density_r2_A13107_B32768_bitset_avx512.csv;raw/density_r3_A13107_B32768_bitset_avx512.csv
Concise,A13107_B32768,25.3594,25.2876,25.9176,3,OR_op,raw/density_r1_A13107_B32768_concise.csv;raw/density_r2_A13107_B32768_concise.csv;raw/density_r3_A13107_B32768_concise.csv
DDC,A19661_B19661,1.55528,1.54599,1.63177,3,OR_op,raw/density_r1_A19661_B19661_ddc.csv;raw/density_r2_A19661_B19661_ddc.csv;raw/density_r3_A19661_B19661_ddc.csv
CRoaring,A19661_B19661,2.8601,2.83589,2.95968,3,OR_op_conv,raw/density_r1_A19661_B19661_croaring.csv;raw/density_r2_A19661_B19661_croaring.csv;raw/density_r3_A19661_B19661_croaring.csv
WAH,A19661_B19661,1.88483,1.87544,1.95459,3,OR_op,raw/density_r1_A19661_B19661_wah.csv;raw/density_r2_A19661_B19661_wah.csv;raw/density_r3_A19661_B19661_wah.csv
EWAH,A19661_B19661,5.59843,5.5981,5.6106,3,OR_op,raw/density_r1_A19661_B19661_ewah.csv;raw/density_r2_A19661_B19661_ewah.csv;raw/density_r3_A19661_B19661_ewah.csv
Bitset-AVX512,A19661_B19661,1.75163,1.72719,1.7983,3,OR_op,raw/density_r1_A19661_B19661_bitset_avx512.csv;raw/density_r2_A19661_B19661_bitset_avx512.csv;raw/density_r3_A19661_B19661_bitset_avx512.csv
Concise,A19661_B19661,25.3754,25.2962,25.618,3,OR_op,raw/density_r1_A19661_B19661_concise.csv;raw/density_r2_A19661_B19661_concise.csv;raw/density_r3_A19661_B19661_concise.csv
DDC,A19661_B26214,1.55739,1.54637,1.62987,3,OR_op,raw/density_r1_A19661_B26214_ddc.csv;raw/density_r2_A19661_B26214_ddc.csv;raw/density_r3_A19661_B26214_ddc.csv
CRoaring,A19661_B26214,2.86471,2.8371,2.94754,3,OR_op_conv,raw/density_r1_A19661_B26214_croaring.csv;raw/density_r2_A19661_B26214_croaring.csv;raw/density_r3_A19661_B26214_croaring.csv
WAH,A19661_B26214,1.87922,1.87766,1.93481,3,OR_op,raw/density_r1_A19661_B26214_wah.csv;raw/density_r2_A19661_B26214_wah.csv;raw/density_r3_A19661_B26214_wah.csv
EWAH,A19661_B26214,5.61171,5.60616,5.68683,3,OR_op,raw/density_r1_A19661_B26214_ewah.csv;raw/density_r2_A19661_B26214_ewah.csv;raw/density_r3_A19661_B26214_ewah.csv
Bitset-AVX512,A19661_B26214,1.71295,1.69166,1.82505,3,OR_op,raw/density_r1_A19661_B26214_bitset_avx512.csv;raw/density_r2_A19661_B26214_bitset_avx512.csv;raw/density_r3_A19661_B26214_bitset_avx512.csv
Concise,A19661_B26214,25.2592,25.2197,25.5994,3,OR_op,raw/density_r1_A19661_B26214_concise.csv;raw/density_r2_A19661_B26214_concise.csv;raw/density_r3_A19661_B26214_concise.csv
DDC,A19661_B32768,1.56074,1.53824,1.64994,3,OR_op,raw/density_r1_A19661_B32768_ddc.csv;raw/density_r2_A19661_B32768_ddc.csv;raw/density_r3_A19661_B32768_ddc.csv
CRoaring,A19661_B32768,2.86249,2.83907,2.96105,3,OR_op_conv,raw/density_r1_A19661_B32768_croaring.csv;raw/density_r2_A19661_B32768_croaring.csv;raw/density_r3_A19661_B32768_croaring.csv
WAH,A19661_B32768,1.87604,1.87431,1.94013,3,OR_op,raw/density_r1_A19661_B32768_wah.csv;raw/density_r2_A19661_B32768_wah.csv;raw/density_r3_A19661_B32768_wah.csv
EWAH,A19661_B32768,5.62375,5.62256,5.67921,3,OR_op,raw/density_r1_A19661_B32768_ewah.csv;raw/density_r2_A19661_B32768_ewah.csv;raw/density_r3_A19661_B32768_ewah.csv
Bitset-AVX512,A19661_B32768,1.73301,1.71596,1.79873,3,OR_op,raw/density_r1_A19661_B32768_bitset_avx512.csv;raw/density_r2_A19661_B32768_bitset_avx512.csv;raw/density_r3_A19661_B32768_bitset_avx512.csv
Concise,A19661_B32768,25.2578,25.2254,25.6519,3,OR_op,raw/density_r1_A19661_B32768_concise.csv;raw/density_r2_A19661_B32768_concise.csv;raw/density_r3_A19661_B32768_concise.csv
DDC,A26214_B26214,1.55726,1.53798,1.62483,3,OR_op,raw/density_r1_A26214_B26214_ddc.csv;raw/density_r2_A26214_B26214_ddc.csv;raw/density_r3_A26214_B26214_ddc.csv
CRoaring,A26214_B26214,2.83346,2.82665,2.99961,3,OR_op_conv,raw/density_r1_A26214_B26214_croaring.csv;raw/density_r2_A26214_B26214_croaring.csv;raw/density_r3_A26214_B26214_croaring.csv
WAH,A26214_B26214,1.8922,1.87895,1.9521,3,OR_op,raw/density_r1_A26214_B26214_wah.csv;raw/density_r2_A26214_B26214_wah.csv;raw/density_r3_A26214_B26214_wah.csv
EWAH,A26214_B26214,5.66818,5.64576,5.68411,3,OR_op,raw/density_r1_A26214_B26214_ewah.csv;raw/density_r2_A26214_B26214_ewah.csv;raw/density_r3_A26214_B26214_ewah.csv
Bitset-AVX512,A26214_B26214,1.76569,1.7378,1.82109,3,OR_op,raw/density_r1_A26214_B26214_bitset_avx512.csv;raw/density_r2_A26214_B26214_bitset_avx512.csv;raw/density_r3_A26214_B26214_bitset_avx512.csv
Concise,A26214_B26214,25.2598,25.089,25.4308,3,OR_op,raw/density_r1_A26214_B26214_concise.csv;raw/density_r2_A26214_B26214_concise.csv;raw/density_r3_A26214_B26214_concise.csv
DDC,A26214_B32768,1.5529,1.52164,1.62459,3,OR_op,raw/density_r1_A26214_B32768_ddc.csv;raw/density_r2_A26214_B32768_ddc.csv;raw/density_r3_A26214_B32768_ddc.csv
CRoaring,A26214_B32768,2.85844,2.83475,2.95577,3,OR_op_conv,raw/density_r1_A26214_B32768_croaring.csv;raw/density_r2_A26214_B32768_croaring.csv;raw/density_r3_A26214_B32768_croaring.csv
WAH,A26214_B32768,1.895,1.87714,1.95274,3,OR_op,raw/density_r1_A26214_B32768_wah.csv;raw/density_r2_A26214_B32768_wah.csv;raw/density_r3_A26214_B32768_wah.csv
EWAH,A26214_B32768,5.60259,5.46875,5.6551,3,OR_op,raw/density_r1_A26214_B32768_ewah.csv;raw/density_r2_A26214_B32768_ewah.csv;raw/density_r3_A26214_B32768_ewah.csv
Bitset-AVX512,A26214_B32768,1.75032,1.73752,1.76916,3,OR_op,raw/density_r1_A26214_B32768_bitset_avx512.csv;raw/density_r2_A26214_B32768_bitset_avx512.csv;raw/density_r3_A26214_B32768_bitset_avx512.csv
Concise,A26214_B32768,25.0717,25.0427,25.2338,3,OR_op,raw/density_r1_A26214_B32768_concise.csv;raw/density_r2_A26214_B32768_concise.csv;raw/density_r3_A26214_B32768_concise.csv
DDC,A32768_B32768,1.59241,1.52414,1.61373,3,OR_op,raw/density_r1_A32768_B32768_ddc.csv;raw/density_r2_A32768_B32768_ddc.csv;raw/density_r3_A32768_B32768_ddc.csv
CRoaring,A32768_B32768,2.853,2.83896,2.96162,3,OR_op_conv,raw/density_r1_A32768_B32768_croaring.csv;raw/density_r2_A32768_B32768_croaring.csv;raw/density_r3_A32768_B32768_croaring.csv
WAH,A32768_B32768,1.89243,1.87938,2.15545,3,OR_op,raw/density_r1_A32768_B32768_wah.csv;raw/density_r2_A32768_B32768_wah.csv;raw/density_r3_A32768_B32768_wah.csv
EWAH,A32768_B32768,5.79421,5.60929,12.6859,3,OR_op,raw/density_r1_A32768_B32768_ewah.csv;raw/density_r2_A32768_B32768_ewah.csv;raw/density_r3_A32768_B32768_ewah.csv
Bitset-AVX512,A32768_B32768,1.74499,1.7114,1.76587,3,OR_op,raw/density_r1_A32768_B32768_bitset_avx512.csv;raw/density_r2_A32768_B32768_bitset_avx512.csv;raw/density_r3_A32768_B32768_bitset_avx512.csv
Concise,A32768_B32768,24.6764,24.5381,24.8211,3,OR_op,raw/density_r1_A32768_B32768_concise.csv;raw/density_r2_A32768_B32768_concise.csv;raw/density_r3_A32768_B32768_concise.csv
