backend,case,or_time_ms,min_ms,max_ms,replicates,source_operation,source_files
CRoaring,A655_B13107,3.07457,3.05963,3.13877,3,OR_op_conv,raw/density_r1_A655_B13107_croaring.csv;raw/density_r2_A655_B13107_croaring.csv;raw/density_r3_A655_B13107_croaring.csv
WAH,A655_B13107,16.9884,16.9114,17.123,3,OR_op,raw/density_r1_A655_B13107_wah.csv;raw/density_r2_A655_B13107_wah.csv;raw/density_r3_A655_B13107_wah.csv
EWAH,A655_B13107,13.0652,13.0554,13.1243,3,OR_op,raw/density_r1_A655_B13107_ewah.csv;raw/density_r2_A655_B13107_ewah.csv;raw/density_r3_A655_B13107_ewah.csv
Bitset-AVX512,A655_B13107,1.72384,1.61962,1.76567,3,OR_op,raw/density_r1_A655_B13107_bitset_avx512.csv;raw/density_r2_A655_B13107_bitset_avx512.csv;raw/density_r3_A655_B13107_bitset_avx512.csv
Concise,A655_B13107,36.5297,36.4662,36.63,3,OR_op,raw/density_r1_A655_B13107_concise.csv;raw/density_r2_A655_B13107_concise.csv;raw/density_r3_A655_B13107_concise.csv
DDC,A655_B19661,1.45946,1.45031,1.4629,3,OR_op,raw/density_r1_A655_B19661_ddc.csv;raw/density_r2_A655_B19661_ddc.csv;raw/density_r3_A655_B19661_ddc.csv
CRoaring,A655_B19661,3.07068,3.05032,3.13458,3,OR_op_conv,raw/density_r1_A655_B19661_croaring.csv;raw/density_r2_A655_B19661_croaring.csv;raw/density_r3_A655_B19661_croaring.csv
WAH,A655_B19661,5.94424,5.93475,5.94758,3,OR_op,raw/density_r1_A655_B19661_wah.csv;raw/density_r2_A655_B19661_wah.csv;raw/density_r3_A655_B19661_wah.csv
EWAH,A655_B19661,13.0271,13.0091,13.0849,3,OR_op,raw/density_r1_A655_B19661_ewah.csv;raw/density_r2_A655_B19661_ewah.csv;raw/density_r3_A655_B19661_ewah.csv
Bitset-AVX512,A655_B19661,1.74476,1.74107,1.80412,3,OR_op,raw/density_r1_A655_B19661_bitset_avx512.csv;raw/density_r2_A655_B19661_bitset_avx512.csv;raw/density_r3_A655_B19661_bitset_avx512.csv
Concise,A655_B19661,36.1587,36.1387,36.1644,3,OR_op,raw/density_r1_A655_B19661_concise.csv;raw/density_r2_A655_B19661_concise.csv;raw/density_r3_A655_B19661_concise.csv
DDC,A655_B26214,1.46695,1.44574,1.47348,3,OR_op,raw/density_r1_A655_B26214_ddc.csv;raw/density_r2_A655_B26214_ddc.csv;raw/density_r3_A655_B26214_ddc.csv
CRoaring,A655_B26214,3.06757,3.05048,3.12735,3,OR_op_conv,raw/density_r1_A655_B26214_croaring.csv;raw/density_r2_A655_B26214_croaring.csv;raw/density_r3_A655_B26214_croaring.csv
WAH,A655_B26214,5.9384,5.90063,5.94402,3,OR_op,raw/density_r1_A655_B26214_wah.csv;raw/density_r2_A655_B26214_wah.csv;raw/density_r3_A655_B26214_wah.csv
EWAH,A655_B26214,13.0607,13.0029,13.1029,3,OR_op,raw/density_r1_A655_B26214_ewah.csv;raw/density_r2_A655_B26214_ewah.csv;raw/density_r3_A655_B26214_ewah.csv
Bitset-AVX512,A655_B26214,1.69608,1.63691,1.76049,3,OR_op,raw/density_r1_A655_B26214_bitset_avx512.csv;raw/density_r2_A655_B26214_bitset_avx512.csv;raw/density_r3_A655_B26214_bitset_avx512.csv
Concise,A655_B26214,36.0339,35.9469,36.051,3,OR_op,raw/density_r1_A655_B26214_concise.csv;raw/density_r2_A655_B26214_concise.csv;raw/density_r3_A655_B26214_concise.csv
DDC,A655_B32768,1.46253,1.45032,1.48735,3,OR_op,raw/density_r1_A655_B32768_ddc.csv;raw/density_r2_A655_B32768_ddc.csv;raw/density_r3_A655_B32768_ddc.csv
CRoaring,A655_B32768,3.07472,3.05622,3.138,3,OR_op_conv,raw/density_r1_A655_B32768_croaring.csv;raw/density_r2_A655_B32768_croaring.csv;raw/density_r3_A655_B32768_croaring.csv
WAH,A655_B32768,5.9392,5.91283,5.94221,3,OR_op,raw/density_r1_A655_B32768_wah.csv;raw/density_r2_A655_B32768_wah.csv;raw/density_r3_A655_B32768_wah.csv
EWAH,A655_B32768,13.0272,12.9925,13.086,3,OR_op,raw/density_r1_A655_B32768_ewah.csv;raw/density_r2_A655_B32768_ewah.csv;raw/density_r3_A655_B32768_ewah.csv
Bitset-AVX512,A655_B32768,1.75627,1.48761,1.78264,3,OR_op,raw/density_r1_A655_B32768_bitset_avx512.csv;raw/density_r2_A655_B32768_bitset_avx512.csv;raw/density_r3_A655_B32768_bitset_avx512.csv
Concise,A655_B32768,35.9331,35.9062,35.9951,3,OR_op,raw/density_r1_A655_B32768_concise.csv;raw/density_r2_A655_B32768_concise.csv;raw/density_r3_A655_B32768_concise.csv
