group,case,num_rows,operation,backend,time_ms,latency_over_ddc,winner,source_operation,source_file,replicates,min_ms,max_ms,cf1,throughput_ops_s
cluster,f2,100000000,OR,DDC,1.40521,1.0,DDC,OR_op,raw/cluster_r1_f2_ddc.csv;raw/cluster_r2_f2_ddc.csv;raw/cluster_r3_f2_ddc.csv;raw/cluster_r4_f2_ddc.csv;raw/cluster_r5_f2_ddc.csv,5,1.40206,1.49731,2.0000144401042577,711.6374065086356
cluster,f2,100000000,OR,CRoaring,10.4015,7.402096483799574,DDC,OR_op_conv,raw/cluster_r1_f2_croaring.csv;raw/cluster_r2_f2_croaring.csv;raw/cluster_r3_f2_croaring.csv;raw/cluster_r4_f2_croaring.csv;raw/cluster_r5_f2_croaring.csv,5,10.3504,10.418,2.0000144401042577,96.13997981060423
cluster,f2,100000000,OR,WAH,17.8953,12.734964880693987,DDC,OR_op,raw/cluster_r1_f2_wah.csv;raw/cluster_r2_f2_wah.csv;raw/cluster_r3_f2_wah.csv;raw/cluster_r4_f2_wah.csv;raw/cluster_r5_f2_wah.csv,5,17.8762,17.8992,2.0000144401042577,55.880594346001466
cluster,f2,100000000,OR,EWAH,13.6034,9.680688295699575,DDC,OR_op,raw/cluster_r1_f2_ewah.csv;raw/cluster_r2_f2_ewah.csv;raw/cluster_r3_f2_ewah.csv;raw/cluster_r4_f2_ewah.csv;raw/cluster_r5_f2_ewah.csv,5,13.5826,13.6129,2.0000144401042577,73.51103400620433
cluster,f2,100000000,AND,DDC,1.71449,1.0,DDC,AND_op,raw/cluster_r1_f2_ddc.csv;raw/cluster_r2_f2_ddc.csv;raw/cluster_r3_f2_ddc.csv;raw/cluster_r4_f2_ddc.csv;raw/cluster_r5_f2_ddc.csv,5,1.71292,1.73106,2.0000144401042577,583.2638277271958
cluster,f2,100000000,AND,CRoaring,5.4783,3.195294227437897,DDC,AND_op_conv,raw/cluster_r1_f2_croaring.csv;raw/cluster_r2_f2_croaring.csv;raw/cluster_r3_f2_croaring.csv;raw/cluster_r4_f2_croaring.csv;raw/cluster_r5_f2_croaring.csv,5,5.47336,5.48307,2.0000144401042577,182.53837869412044
cluster,f2,100000000,AND,WAH,11.4848,6.698668408681298,DDC,AND_op,raw/cluster_r1_f2_wah.csv;raw/cluster_r2_f2_wah.csv;raw/cluster_r3_f2_wah.csv;raw/cluster_r4_f2_wah.csv;raw/cluster_r5_f2_wah.csv,5,11.4444,11.4975,2.0000144401042577,87.0716076901644
cluster,f2,100000000,AND,EWAH,11.159,6.508641053607779,DDC,AND_op,raw/cluster_r1_f2_ewah.csv;raw/cluster_r2_f2_ewah.csv;raw/cluster_r3_f2_ewah.csv;raw/cluster_r4_f2_ewah.csv;raw/cluster_r5_f2_ewah.csv,5,11.1532,11.1792,2.0000144401042577,89.61376467425396
cluster,f2,100000000,NOT,DDC,0.208458,1.0,DDC,NOT_op,raw/cluster_r1_f2_ddc.csv;raw/cluster_r2_f2_ddc.csv;raw/cluster_r3_f2_ddc.csv;raw/cluster_r4_f2_ddc.csv;raw/cluster_r5_f2_ddc.csv,5,0.207605,0.208927,2.0000144401042577,4797.129397768375
cluster,f2,100000000,NOT,CRoaring,5.24583,25.164925308695274,DDC,NOT_op_conv,raw/cluster_r1_f2_croaring.csv;raw/cluster_r2_f2_croaring.csv;raw/cluster_r3_f2_croaring.csv;raw/cluster_r4_f2_croaring.csv;raw/cluster_r5_f2_croaring.csv,5,5.23735,5.25014,2.0000144401042577,190.62760325820702
cluster,f2,100000000,NOT,WAH,0.389048,1.866313597942991,DDC,NOT_op,raw/cluster_r1_f2_wah.csv;raw/cluster_r2_f2_wah.csv;raw/cluster_r3_f2_wah.csv;raw/cluster_r4_f2_wah.csv;raw/cluster_r5_f2_wah.csv,5,0.387791,0.39144,2.0000144401042577,2570.376920071559
cluster,f2,100000000,NOT,EWAH,4.04584,19.408418002667204,DDC,NOT_op,raw/cluster_r1_f2_ewah.csv;raw/cluster_r2_f2_ewah.csv;raw/cluster_r3_f2_ewah.csv;raw/cluster_r4_f2_ewah.csv;raw/cluster_r5_f2_ewah.csv,5,4.04215,4.05714,2.0000144401042577,247.1674608981077
cluster,f2,100000000,COMP,DDC,4.22474,1.0,DDC,COMP_op,raw/cluster_r1_f2_ddc.csv;raw/cluster_r2_f2_ddc.csv;raw/cluster_r3_f2_ddc.csv;raw/cluster_r4_f2_ddc.csv;raw/cluster_r5_f2_ddc.csv,5,4.21323,4.40628,2.0000144401042577,236.70095674526718
cluster,f2,100000000,COMP,CRoaring,33.2558,7.871679677329256,DDC,COMP_op,raw/cluster_r1_f2_croaring.csv;raw/cluster_r2_f2_croaring.csv;raw/cluster_r3_f2_croaring.csv;raw/cluster_r4_f2_croaring.csv;raw/cluster_r5_f2_croaring.csv,5,33.1348,33.2724,2.0000144401042577,30.069942686689238
cluster,f2,100000000,COMP,WAH,60.9563,14.42841452965153,DDC,COMP_op,raw/cluster_r1_f2_wah.csv;raw/cluster_r2_f2_wah.csv;raw/cluster_r3_f2_wah.csv;raw/cluster_r4_f2_wah.csv;raw/cluster_r5_f2_wah.csv,5,60.8761,61.048,2.0000144401042577,16.405195197215054
