case=A26214_B32768 rows=100000000 reference=BitsetAVX
artifact,backend,cardinality,fnv1a64,exact
A,BitsetAVX,39999368,d8f4eab1962b45e0,REFERENCE
A,DDC,39999368,d8f4eab1962b45e0,PASS
A,CRoaring,39999368,d8f4eab1962b45e0,PASS
A,WAH,39999368,d8f4eab1962b45e0,PASS
A,EWAH,39999368,d8f4eab1962b45e0,PASS
A,Concise,39999368,d8f4eab1962b45e0,PASS
B,BitsetAVX,50000004,ddb674307c15bf77,REFERENCE
B,DDC,50000004,ddb674307c15bf77,PASS
B,CRoaring,50000004,ddb674307c15bf77,PASS
B,WAH,50000004,ddb674307c15bf77,PASS
B,EWAH,50000004,ddb674307c15bf77,PASS
B,Concise,50000004,ddb674307c15bf77,PASS
OR,BitsetAVX,69998613,1a78f2cf94ad74ff,REFERENCE
OR,DDC,69998613,1a78f2cf94ad74ff,PASS
OR,CRoaring,69998613,1a78f2cf94ad74ff,PASS
OR,WAH,69998613,1a78f2cf94ad74ff,PASS
OR,EWAH,69998613,1a78f2cf94ad74ff,PASS
OR,Concise,69998613,1a78f2cf94ad74ff,PASS
ALL_EXACT_MATCH
  [Breakdown] DDC   L1=47.19 MiB  L2=0.47 MiB  L3=0.33 MiB  L4=0.09 MiB  total=48.08 MiB
