case=A1311_B6554 rows=100000000 reference=BitsetAVX
artifact,backend,cardinality,fnv1a64,exact
A,BitsetAVX,2000409,6c8721d32441435b,REFERENCE
A,DDC,2000409,6c8721d32441435b,PASS
A,CRoaring,2000409,6c8721d32441435b,PASS
A,WAH,2000409,6c8721d32441435b,PASS
A,EWAH,2000409,6c8721d32441435b,PASS
A,Concise,2000409,6c8721d32441435b,PASS
B,BitsetAVX,10000600,b999a39dac6f9c72,REFERENCE
B,DDC,10000600,b999a39dac6f9c72,PASS
B,CRoaring,10000600,b999a39dac6f9c72,PASS
B,WAH,10000600,b999a39dac6f9c72,PASS
B,EWAH,10000600,b999a39dac6f9c72,PASS
B,Concise,10000600,b999a39dac6f9c72,PASS
OR,BitsetAVX,11800290,2edbe0dbae15cffc,REFERENCE
OR,DDC,11800290,2edbe0dbae15cffc,PASS
OR,CRoaring,11800290,2edbe0dbae15cffc,PASS
OR,WAH,11800290,2edbe0dbae15cffc,PASS
OR,EWAH,11800290,2edbe0dbae15cffc,PASS
OR,Concise,11800290,2edbe0dbae15cffc,PASS
ALL_EXACT_MATCH
  [Breakdown] DDC   L1=17.14 MiB  L2=5.11 MiB  L3=0.38 MiB  L4=0.09 MiB  total=22.72 MiB
