# variant	L1	L2	L3	L4	L5	total
L2	0	0	0	0	0	0
L3	95.2030	93.8931	372.6959	0.0000	0.0000	561.7920
L4	95.2030	93.8931	84.1437	46.7300	0.0000	319.9700
L5	95.2030	93.8931	84.1437	40.5811	5.9128	319.7340
