# variant	L1	L2	L3	L4	L5	total
L2	67.8931	14.9012	0.0000	0.0000	0.0000	82.7943
L3	67.8931	14.7363	1.8626	0.0000	0.0000	84.4921
L4	67.8931	14.7363	0.1586	0.2328	0.0000	83.0209
L5	67.8931	14.7363	0.1586	0.1186	0.0291	82.9358
