group,case,num_rows,operation,backend,time_ms,latency_over_ddc,winner,source_operation,source_file,replicates,min_ms,max_ms
job,kind,2528312,COMP,CRoaring,0.03292,2.211028275908389,DDC,COMP_op_native,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/job/r*_kind.csv,3,0.032833,0.033708
job,kind,2528312,COMP,WAH,0.398384,26.75693464974142,DDC,COMP_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.398384,0.398384
job,kind,2528312,COMP,EWAH,0.220021,14.777419571495736,DDC,COMP_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.220021,0.220021
job,role,36244344,OR,DDC,0.000222,1.0,EWAH,OR_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.000222,0.000222
job,role,36244344,OR,CRoaring,0.016373,73.75225225225225,EWAH,OR_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/job/r*_role.csv,3,0.016186,0.016683
job,role,36244344,OR,WAH,0.000588,2.6486486486486487,EWAH,OR_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.000588,0.000588
job,role,36244344,OR,EWAH,9.5e-05,0.42792792792792794,EWAH,OR_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,9.5e-05,9.5e-05
job,role,36244344,AND,DDC,0.000131,1.0,EWAH,AND_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.000131,0.000131
job,role,36244344,AND,CRoaring,0.00024,1.83206106870229,EWAH,AND_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/job/r*_role.csv,3,0.000228,0.000262
job,role,36244344,AND,WAH,0.000598,4.564885496183206,EWAH,AND_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.000598,0.000598
job,role,36244344,AND,EWAH,8.8e-05,0.6717557251908396,EWAH,AND_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,8.8e-05,8.8e-05
job,role,36244344,NOT,DDC,0.000127,1.0,EWAH,NOT_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.000127,0.000127
job,role,36244344,NOT,CRoaring,0.040444,318.45669291338584,EWAH,NOT_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/job/r*_role.csv,3,0.040068,0.04048
job,role,36244344,NOT,WAH,0.000205,1.6141732283464567,EWAH,NOT_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.000205,0.000205
job,role,36244344,NOT,EWAH,8.8e-05,0.6929133858267716,EWAH,NOT_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,8.8e-05,8.8e-05
job,role,36244344,COMP,DDC,0.000682,1.0,EWAH,COMP_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.000682,0.000682
job,role,36244344,COMP,CRoaring,0.066657,97.73753665689149,EWAH,COMP_op_native,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/job/r*_role.csv,3,0.066298,0.066777
job,role,36244344,COMP,WAH,0.001907,2.7961876832844577,EWAH,COMP_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.001907,0.001907
job,role,36244344,COMP,EWAH,0.000335,0.4912023460410557,EWAH,COMP_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.000335,0.000335
job,pi_itype,2963664,OR,DDC,0.034676,1.0,DDC,OR_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.034676,0.034676
job,pi_itype,2963664,OR,CRoaring,0.054111,1.5604741031260816,DDC,OR_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/job/r*_pi_itype.csv,3,0.054076,0.055006
job,pi_itype,2963664,OR,WAH,0.484379,13.968710347214213,DDC,OR_op,R3W1_realworld_excel_20260809/job_unified10/job-unified10-logical.csv,1,0.484379,0.484379
