group,case,num_rows,operation,backend,time_ms,latency_over_ddc,winner,source_operation,source_file,replicates,min_ms,max_ms
earth,qflag,21844315,COMP,DDC,0.765055,1.0,DDC,COMP_op,R3W1_realworld_excel_20260809/earth_adaptive_single_replay_20260809/results_earth_adaptive_single_20260809.csv,1,0.765055,0.765055
earth,qflag,21844315,COMP,CRoaring,1.4082,1.840651979269464,DDC,COMP_op_native,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/earth/r*_qflag.csv,3,1.40613,1.40854
earth,qflag,21844315,COMP,WAH,5.08768,6.650083980890262,DDC,COMP_op,R3W1_realworld_excel_20260809/earth_final5/results_earth_final5_20260809.csv,1,5.08768,5.08768
earth,qflag,21844315,COMP,EWAH,3.4327,4.486866957277581,DDC,COMP_op,R3W1_realworld_excel_20260809/ewah_corrected/earth/results_earth_ewah_corrected_20260809.csv,1,3.4327,3.4327
earth,decade,21844315,OR,DDC,0.305233,1.0,CRoaring,OR_op,R3W1_realworld_excel_20260809/earth_adaptive_single_replay_20260809/results_earth_adaptive_single_20260809.csv,1,0.305233,0.305233
earth,decade,21844315,OR,CRoaring,0.18998,0.6224097656544345,CRoaring,OR_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/earth/r*_decade.csv,3,0.189499,0.19169
earth,decade,21844315,OR,WAH,1.35073,4.425242355839638,CRoaring,OR_op,R3W1_realworld_excel_20260809/earth_final5/results_earth_final5_20260809.csv,1,1.35073,1.35073
earth,decade,21844315,OR,EWAH,1.28769,4.218711607198435,CRoaring,OR_op,R3W1_realworld_excel_20260809/ewah_corrected/earth/results_earth_ewah_corrected_20260809.csv,1,1.28769,1.28769
earth,decade,21844315,AND,DDC,0.445597,1.0,CRoaring,AND_op,R3W1_realworld_excel_20260809/earth_adaptive_single_replay_20260809/results_earth_adaptive_single_20260809.csv,1,0.445597,0.445597
earth,decade,21844315,AND,CRoaring,0.135092,0.3031708023168917,CRoaring,AND_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/earth/r*_decade.csv,3,0.134857,0.135131
earth,decade,21844315,AND,WAH,0.845936,1.898432888910832,CRoaring,AND_op,R3W1_realworld_excel_20260809/earth_final5/results_earth_final5_20260809.csv,1,0.845936,0.845936
earth,decade,21844315,AND,EWAH,0.944016,2.1185420907232317,CRoaring,AND_op,R3W1_realworld_excel_20260809/ewah_corrected/earth/results_earth_ewah_corrected_20260809.csv,1,0.944016,0.944016
earth,decade,21844315,NOT,DDC,0.084913,1.0,WAH,NOT_op,R3W1_realworld_excel_20260809/earth_adaptive_single_replay_20260809/results_earth_adaptive_single_20260809.csv,1,0.084913,0.084913
earth,decade,21844315,NOT,CRoaring,0.163583,1.926477688928668,WAH,NOT_op,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/earth/r*_decade.csv,3,0.163414,0.164161
earth,decade,21844315,NOT,WAH,0.02168,0.2553201512135951,WAH,NOT_op,R3W1_realworld_excel_20260809/earth_final5/results_earth_final5_20260809.csv,1,0.02168,0.02168
earth,decade,21844315,NOT,EWAH,0.562956,6.629797557500029,WAH,NOT_op,R3W1_realworld_excel_20260809/ewah_corrected/earth/results_earth_ewah_corrected_20260809.csv,1,0.562956,0.562956
earth,decade,21844315,COMP,DDC,1.16118,1.0,CRoaring,COMP_op,R3W1_realworld_excel_20260809/earth_adaptive_single_replay_20260809/results_earth_adaptive_single_20260809.csv,1,1.16118,1.16118
earth,decade,21844315,COMP,CRoaring,0.814976,0.7018515647875436,CRoaring,COMP_op_native,combit-cr-native-20260820/experiments/cr_native_no_btv_20260820/raw/earth/r*_decade.csv,3,0.812017,0.817166
