backend,density_A,density_B,or_time_ms
CRoaring,20%,20%,1.49533
CRoaring,20%,30%,1.4875
CRoaring,20%,40%,1.51797
CRoaring,20%,50%,1.52225
CRoaring,30%,0.1%,1.13588
CRoaring,30%,0.5%,1.43447
CRoaring,30%,1%,1.72553
CRoaring,30%,2%,2.28073
CRoaring,30%,5%,4.18571
CRoaring,30%,10%,1.49279
CRoaring,30%,20%,1.4875
CRoaring,30%,30%,1.51919
CRoaring,30%,40%,1.52185
CRoaring,30%,50%,1.51939
CRoaring,40%,0.1%,1.13297
CRoaring,40%,0.5%,1.43486
CRoaring,40%,1%,1.71731
CRoaring,40%,2%,2.30258
CRoaring,40%,5%,4.19147
CRoaring,40%,10%,1.49683
CRoaring,40%,20%,1.51797
CRoaring,40%,30%,1.52185
CRoaring,40%,40%,1.52079
CRoaring,40%,50%,1.51892
CRoaring,50%,0.1%,1.13417
CRoaring,50%,0.5%,1.43107
CRoaring,50%,1%,1.71622
CRoaring,50%,2%,2.30229
CRoaring,50%,5%,4.18161
CRoaring,50%,10%,1.48783
CRoaring,50%,20%,1.52225
CRoaring,50%,30%,1.51939
CRoaring,50%,40%,1.51892
CRoaring,50%,50%,1.52171
WAH,0.1%,0.1%,3.40726
WAH,0.1%,0.5%,7.90896
WAH,0.1%,1%,12.4772
WAH,0.1%,2%,14.7419
WAH,0.1%,5%,7.10447
WAH,0.1%,10%,6.24798
WAH,0.1%,20%,6.00192
WAH,0.1%,30%,1.35894
WAH,0.1%,40%,1.34784
WAH,0.1%,50%,1.36452
WAH,0.5%,0.1%,7.90896
WAH,0.5%,0.5%,16.928
WAH,0.5%,1%,23.4049
WAH,0.5%,2%,25.1188
WAH,0.5%,5%,13.4723
WAH,0.5%,10%,12.1655
WAH,0.5%,20%,11.9282
WAH,0.5%,30%,3.21066
WAH,0.5%,40%,3.15141
WAH,0.5%,50%,3.17408
WAH,1%,0.1%,12.4772
WAH,1%,0.5%,23.4049
WAH,1%,1%,31.3784
WAH,1%,2%,23.871
WAH,1%,5%,19.5542
WAH,1%,10%,18.109
WAH,1%,20%,17.7981
WAH,1%,30%,5.95611
WAH,1%,40%,5.9189
WAH,1%,50%,5.93937
WAH,2%,0.1%,14.7419
WAH,2%,0.5%,25.1188
WAH,2%,1%,23.871
WAH,2%,2%,26.1221
WAH,2%,5%,21.4713
WAH,2%,10%,20.1062
WAH,2%,20%,19.7939
WAH,2%,30%,7.56519
WAH,2%,40%,7.63054
WAH,2%,50%,7.63487
WAH,5%,0.1%,7.10447
WAH,5%,0.5%,13.4723
WAH,5%,1%,19.5542
WAH,5%,2%,21.4713
WAH,5%,5%,16.8343
WAH,5%,10%,16.106
WAH,5%,20%,15.4344
WAH,5%,30%,4.7399
WAH,5%,40%,4.79296
WAH,5%,50%,4.71449
WAH,10%,0.1%,6.24798
WAH,10%,0.5%,12.1655
WAH,10%,1%,18.109
WAH,10%,2%,20.1062
WAH,10%,5%,16.106
WAH,10%,10%,15.3306
WAH,10%,20%,15.488
WAH,10%,30%,3.28814
WAH,10%,40%,3.22242
WAH,10%,50%,3.28136
WAH,20%,0.1%,6.00192
WAH,20%,0.5%,11.9282
WAH,20%,1%,17.7981
WAH,20%,2%,19.7939
WAH,20%,5%,15.4344
WAH,20%,10%,15.488
